,제목,URL,신문사,작성일,세부내용,url
14,"유승민 “이재명, 돈봉투 사건에 대해 사과할 자격조차 없는 사람”",,세계일보,2023.04.18,"""李 사과, 증거 때문…어물쩡 지나갈 일 아냐"" 뉴시스 유승민 전 국민의힘 의원은 17일 ""이재명 대표는 돈봉투 사건에 대해 사과할 자격조차 없는 사람""이라며 ""수많은 부패혐의와 측근 다섯 명의 죽음에 책임이 있는 ",https://n.news.naver.com/mnews/article/022/0003803547?sid=100
15,"유승민 ""이재명, 돈봉투 사건 사과할 자격조차 없는 사람""",,시사저널,2023.04.17,"""한 번의 사과로 어물쩡 지나갈 일 아냐"" 유승민 전 국민의힘 의원은 17일 ""이재명 더불어민주당 대표는 돈봉투 사건에 대해 사과할 자격조차 없는 사람""이라며 ""사퇴하고 법의 심판을 기다려야 한다""고 밝혔다. 유 전",https://n.news.naver.com/mnews/article/586/0000056120?sid=100
16,'재정준칙 법제화' 속도내나…5월 처리 가능성도 솔솔,,이데일리,2023.04.17,사회기반시설(SOC)과 국가연구개발사업(R&D)에 대해 예비타당성조사(예타) 면제 기준을 완화하는 국가재정법 개정안의 기획재정위원회 상정이 17일 불발됐다. 여야가 총선 1년을 앞두고 ‘선심성 공약’이 남발될 것이란,https://n.news.naver.com/mnews/article/018/0005465928?sid=100
17,"여야, '따가운 여론'에 예타 완화법 처리 연기…""추가 논의""(종합)",,연합뉴스,2023.04.17,"'재정준칙' 논의도 지지부진…기재위원장·여야 간사 등은 내일부터 유럽 출장 예정 與류성걸 ""여야 포퓰리즘 합작은 오해"", 野신동근 ""재정준칙이 무슨 요술방망인가"" 김철선 곽민서 기자 = 여야가 '총선용 포퓰리즘' 논",https://n.news.naver.com/mnews/article/001/0013886117?sid=100
18,"재정준칙 30개월 미적댄 여야, 재정위기 경험 듣겠다며 유럽 출장",,동아일보,2023.04.18,국가 재정 건전성 유지를 위한 재정준칙 도입 논의를 30개월째 처리하지 않고 있는 국회 기획재정위원회 소속 의원들이 18일부터 유럽으로 해외 출장을 떠난다. 재정위기를 겪었던 국가들의 경험을 공유하겠다는 명분이다. ,https://n.news.naver.com/mnews/article/020/0003491941?sid=100
19,예타완화 연기 '속도조절'...재정준칙 장기 표류,,파이낸셜뉴스,2023.04.17,내년 4월 총선을 앞둔 '포퓰리즘'이란 지적이 거세지자 여야가 대규모 재정사업의 예비타당성 조사 완화 법안 처리를 연기했다. 1000조원을 넘어 급증하는 국가부채를 관리하기 위한 재정준칙 법제화 표류도 장기화되고 있,https://n.news.naver.com/mnews/article/014/0004998178?sid=100
20,'재정준칙' 이어 '예타면제 상한법'까지 순연..포퓰리즘 비판에 속도조절 나선 與,,파이낸셜뉴스,2023.04.17,"국회 기획재정위원회가 17일 정부의 대규모 재정사업에 대한 예비타당성조사(예타) 면제 기준 상한 법안(국가재정법)를 처리하기로 했다가 ""내년 총선을 위한 포퓰리즘법""이라는 비판여론을 감안해 상정을 연기했다. 관리재정",https://n.news.naver.com/mnews/article/014/0004998157?sid=100
21,"예타 탈락했던 김포골드라인, 예타 완화 미루는 정치권…어떻게 생각하십니까",,서울신문,2023.04.17,"국회 기재위, 국가재정법 상정 무산 與 돌연 “재정준칙 도입이 먼저” 김포골드라인, 2001년 예타 탈락 후 경전철로 승장장도 2량 맞게 건설돼 객차 붙일 수도 없어 국회 기획재정위원회가 17일 예비타당성조사(예타)",https://n.news.naver.com/mnews/article/081/0003354401?sid=100
22,재정준칙 30개월 뭉갠 與野 “유럽서 배우자” 7박9일 여행,,조선일보,2023.04.18,예타완화 논란 빚은 기재위 5명 프랑스·독일·스페인으로 출장 국회 기획재정위 소속 여야 의원들이 18일부터 7박 9일 일정으로 유럽 출장을 떠난다. 국회 기재위는 최근 재정을 건전하게 관리하기 위한 재정 준칙은 법제,https://n.news.naver.com/mnews/article/023/0003758378?sid=100
23,"""여론수렴 후 처리""…여야, 포퓰리즘 논란 '예타 완화法' 보류(종합)",,아시아경제,2023.04.17,사회기반시설(SOC) 등 신규 공공투자사업의 경제 효과를 따지는 예비타당성조사(예타) 면제 기준을 완화하는 내용을 담은 국가재정법 개정안의 국회 처리가 17일 불발됐다. 국회 기획재정위원회는 이날 오후 국회에서 열린,https://n.news.naver.com/mnews/article/277/0005246672?sid=100
