,제목,URL,신문사,작성일,세부내용,url
145,"이재명, '전당대회 돈봉투 의혹' 결국 사과…더 큰 위기 오나",,전자신문,2023.04.17,이재명 더불어민주당 대표가 2021년 전당대회 '돈봉투 의혹'에 결국 고개를 숙였다. 그러나 여전히 사태의 실체적 진실 파악이 어려운 상황에서 대여 투쟁 동력이 상실될 수 있다는 분석이 나온다. 아울러 해당 의혹이 ,https://n.news.naver.com/mnews/article/030/0003091971?sid=100
146,"이재명 ‘전대 돈봉투’ 압수수색 닷새 만에 “깊이 사과…검찰, 신속 수사를”",,한겨레,2023.04.17,이재명 더불어민주당 대표가 2021년 전당대회 당시 송영길 캠프에서 돈봉투가 오갔다는 의혹과 관련해 17일 “국민 여러분께 심려를 끼쳐드린 점에 대해 당 대표로서 깊이 사과드린다”며 고개를 숙였다. 프랑스 체류 중인,https://n.news.naver.com/mnews/article/028/0002636149?sid=100
147,"李 ""돈봉투 의혹 깊이 사과…송영길 귀국 요청""",,서울경제,2023.04.17,이재명 더불어민주당 대표가 ‘2021년 전당대회 돈 봉투 의혹’에 대해 공식적으로 사과의 뜻을 밝혔다. 12일 윤관석 민주당 의원에 대한 검찰의 압수 수색이 진행된 지 닷새 만이다. 이 대표는 17일 오전 국회에서 ,https://n.news.naver.com/mnews/article/011/0004180024?sid=100
148,"이재명, ‘전대 돈봉투’ 의혹 사과…송영길에 귀국 요청",,한겨레,2023.04.17,이재명 더불어민주당 대표가 ‘2021년 민주당 전당대회 돈 봉투’ 의혹에 대해 “민주당은 이번 사안을 엄중하게 인식하고 있다”며 “이번 일로 국민 여러분께 심려를 끼쳐드린 점에 대해 당 대표로서 깊이 사과드린다”며 ,https://n.news.naver.com/mnews/article/028/0002636026?sid=100
149,"이재명, '민주당 돈봉투 의혹'에 ""깊이 사과… 송영길 귀국 요청""",,대전일보,2023.04.17,"이재명 더불어민주당 대표가 '2021년 민주당 전당대회 돈봉투 의혹'에 대해 ""국민 여러분께 심려를 끼쳐드린 점에 대해서 당 대표로서 깊이 사과드린다""고 밝혔다. 이 대표는 17일 오전 국회 최고위원회의에서 ""아직 ",https://n.news.naver.com/mnews/article/656/0000048150?sid=100
150,"""송영길 조기귀국 요청""…이재명, 당내 '돈 봉투 의혹' 입장 요구에 입 열었다",,데일리안,2023.04.17,"이재명 더불어민주당 대표가 17일 '전당대회 돈 봉투' 의혹과 관련해 공식적인 입장을 내고 고개 숙여 사과했다. 이와 함께 이 대표는 수사기관의 공정한 수사를 촉구하고, 의혹의 몸통으로 지목받고 있는 송영길 전 대표",https://n.news.naver.com/mnews/article/119/0002703310?sid=100
151,"'돈봉투 파문' 닷새 만에…이재명 ""깊이 사과, 송영길 조기귀국 요청""",,한국경제,2023.04.17,2021년 전당대회 과정에 송영길 더불어민주당 전 대표 측에서 금품을 살포했다는 의혹과 관련해 이재명 대표가 17일 “당 대표로서 깊이 사과드린다”며 고개를 숙였다. 지난 12일 윤관석 의원에 대한 검찰의 압수수색으,https://n.news.naver.com/mnews/article/015/0004833761?sid=100
152,결국 고개 숙인 이재명 “돈봉투 파문 깊이 사과”,,국민일보,2023.04.18,이재명 더불어민주당 대표가 17일 ‘2021년 전당대회 돈봉투 의혹’에 대해 대국민 사과를 했다. 윤관석 이성만 민주당 의원에 대한 검찰의 압수수색이 지난 12일 실시된 이후 엿새 만이다. 이 대표는 이날 최고위원회,https://n.news.naver.com/mnews/article/005/0001601977?sid=100
153,"중도층 등 돌릴라 … 野, 셀프조사 접고 수사 요청 태세전환",,매일경제,2023.04.17,"이재명, 돈봉투 의혹 사과 송영길과 밀월 의식해 강수 ""돈봉투 사실일땐 강력 처벌"" 당내서도 비판 목소리 커져 李-宋 통화서 귀국문제 논의 與 ""꼼수 부리면 국민심판"" 이재명 더불어민주당 대표가 17일 '2021년 ",https://n.news.naver.com/mnews/article/009/0005117756?sid=100
154,"이재명, 2021년 민주당 돈봉투 살포 사건에 ""심려 끼쳐 깊이 사과…송영길 조기 귀국 요청""",,디지털타임스,2023.04.17,"이재명 더불어민주당 대표는 17일 민주당 전당대회 돈 봉투 의혹과 관련해 ""이번 일로 국민 여러분께 심려를 끼쳐드린 점에 대하여 당 대표로 깊이 사과드린다""면서 ""송영길 전 대표의 조기 귀국을 요청했다""고 말했다. ",https://n.news.naver.com/mnews/article/029/0002795002?sid=100
155,이재명 대표 ‘전당대회 돈봉투 의혹’에 사과…“국민께 심려끼쳐 사과”,,부산일보,2023.04.17,더불어민주당 이재명 대표가 ‘2021년 전당대회 돈봉투 의혹’에 대해 “국민께 심려를 끼친 데 대해 사과한다”며 고개를 숙였다. 이 대표는 17일 최고위원회의에 앞서 발표한 공식입장을 통해 “이번 사안을 엄중하게 인,https://n.news.naver.com/mnews/article/082/0001207726?sid=100
156,"[속보] 송영길 ""이재명과 통화…조만간 귀국문제 등 입장 발표""",,중앙일보,2023.04.17,더불어민주당 송영길 전 대표는 17일(현지시간) '지난 2021년 전당대회 돈 봉투 의혹'과 관련해 조만간 귀국 문제 등을 포함한 입장을 밝히겠다고 전했다. 프랑스 파리에 체류 중인 송 전 대표는 이날 한 언론과 전,https://n.news.naver.com/mnews/article/025/0003273750?sid=100
157,"이재명 ""돈 봉투 의혹 사과···송영길 귀국 요청""",,대구MBC,2023.04.17,"더불어민주당 이재명 대표가 '전당대회 돈 봉투 의혹'과 관련해 사과했습니다. 이 대표는 4월 17일 국회에서 열린 민주당 최고위원회의에서 ""민주당은 이번 사안을 엄중하게 인식하고 있다는 말씀을 드리면서, 이번 일로 ",https://n.news.naver.com/mnews/article/657/0000014073?sid=100
158,"이재명, '돈 봉투 의혹'에 ""국민께 사과... 송영길 조기 귀국 요청""",,한국일보,2023.04.17,"이재명 더불어민주당 대표가 17일 2021년 전당대회 당시 '돈 봉투 살포' 의혹과 관련해 ""국민께 심려를 끼친 점에 대해 당대표로서 깊이 사과드린다""며 고개를 숙였다. 이 대표는 이날 국회에서 열린 최고위원회의 시",https://n.news.naver.com/mnews/article/469/0000734467?sid=100
159,[속보] ‘野 돈봉투 의혹’에 이재명 사과 “사태수습 위해 노력…송영길 조기 귀국 요청”,,조선비즈,2023.04.17,"“수사기관, 정치적 고려 배제된 신속·공정한 수사 요청” 이재명 더불어민주당 대표는 17일 지난 2021년 민주당 전당대회에서 송영길 전 민주당 대표의 당선을 위해 9000여만원의 금품이 살포됐다는 의혹과 관련해 “",https://n.news.naver.com/mnews/article/366/0000894056?sid=100
160,"민주당 “미국 도감청 의혹 국면전환용”이라더니…이재명, 엿새만에 “사과”",,국민일보,2023.04.17,이재명 더불어민주당 대표가 17일 ‘2021년 전당대회 돈봉투 의혹’에 대해 대국민 사과를 했다. 윤관석 이성만 민주당 의원에 대한 검찰의 압수수색이 지난 12일 실시된 이후 엿새 만이다. 이 대표는 이날 국회에서 ,https://n.news.naver.com/mnews/article/005/0001601806?sid=100
161,"[속보] 이재명, ‘전대 돈봉투 의혹’에 “심려 끼쳐 깊이 사과···송영길에 조기 귀국 요청”",,경향신문,2023.04.17,이재명 더불어민주당 대표가 17일 2021년 ‘전당대회 돈봉투 의혹’에 대해 사과했다. 이 대표는 송영길 전 대표에게 조기 귀국을 요청했다고 밝혔다. 이 대표는 이날 국회에서 열린 최고위원회의에서 “저희 민주당은 이,https://n.news.naver.com/mnews/article/032/0003217697?sid=100
162,[속보] ‘돈봉투 의혹’에 고개숙인 이재명…“송영길에 조기귀국 요청”,,서울경제,2023.04.17,"이재명 더불어민주당 대표는 17일, 2021년 전당대회 당시 불법 정치자금 의혹과 관련 “송영길 전 대표에게 조기귀국을 요청했다”고 밝혔다. 이 대표는 이날 국회에서 열린 최고위원회의에서 “지금까지 상황으로 볼 때 ",https://n.news.naver.com/mnews/article/011/0004179723?sid=100
163,'쩐당대회' 논란에 고개 숙인 이재명… “송영길 조기 귀국 요청했다”,,전자신문,2023.04.17,이재명 더불어민주당 대표가 지난 2021년 전당대회 돈 봉투 논란에 결국 고개를 숙였다. 철저한 수사 요청과 함께 송영길 전 대표에 대한 조기 귀국을 요청했다는 점도 공개했다. 이 대표는 17일 국회 본청에서 열린 ,https://n.news.naver.com/mnews/article/030/0003091816?sid=100
164,"'전당대회 돈 봉투 의혹'.. 이재명, ""깊이 사과, 송영길 귀국 요청""",,전주MBC,2023.04.17,"이재명 더불어민주당 대표가 검찰 수사로 불거진, 지난 2021년 전당대회 관련 이른바 '돈 봉투 의혹'에 대해 사과했습니다. 이 대표는 오늘(17일) 최고위원회의 모두 발언에서 ""민주당은 이번 사안을 엄중하게 인식하",https://n.news.naver.com/mnews/article/659/0000010767?sid=100
165,고개 숙인 이재명 “돈봉투 전대 사과”,,국제신문,2023.04.18,더불어민주당 이재명 (사진) 대표가 2021년 전당대회 ‘돈봉투 의혹’에 대해 공개 사과했다. 이 대표는 17일 국회에서 열린 최고위원회 회의에 앞서 “최근 우리 당의 지난 전당대회와 관련해 불미스러운 의혹 보도가 ,https://n.news.naver.com/mnews/article/658/0000038524?sid=100
166,"고개 숙인 이재명…""전대 돈봉투 의혹, 깊이 사과""",,매일경제,2023.04.17,"""송영길 前대표 조기귀국해야 당 사실규명 한계…수사요청"" 이재명 더불어민주당 대표(사진)가 17일 '민주당 전당대회 돈봉투 의혹'과 관련해 ""국민 여러분께 심려를 끼쳐드린 데 대해서 당대표로서 깊이 사과 드린다""고 ",https://n.news.naver.com/mnews/article/009/0005117819?sid=100
167,"이재명, '돈 봉투 의혹' 사과...""송영길에 귀국 요청""",,YTN,2023.04.17,더불어민주당 전당대회에서 불거진 돈 봉투 살포 의혹과 관련해 이재명 대표가 국민께 심려를 끼쳐 죄송하다며 공식 사과했습니다. 의혹의 핵심 당사자인 송영길 전 대표에게는 조기 귀국을 요청하며 정면 돌파 의지를 보였는데,https://n.news.naver.com/mnews/article/052/0001874352?sid=100
168,"이재명 '전대 돈봉투 의혹' 사과…""송영길 귀국 요청""",,연합뉴스TV,2023.04.17,더불어민주당이 2년 전 전당대회 과정에서 불법 정치자금을 주고받았다는 의혹과 관련해 이재명 당대표가 공식 사과했습니다. 녹취록 등 의혹을 뒷받침하는 정황이 잇달아 알려지면서 더 이상 상황을 두고만 볼 수는 없다는 판,https://n.news.naver.com/mnews/article/422/0000594353?sid=100
169,"송영길 “이재명과 통화…돈봉투 모르는일, 주말경 입장 발표”",,동아일보,2023.04.17,더불어민주당 이재명 대표가 2021년 송영길 전 대표가 당선된 전당대회 당시 ‘돈봉투 의혹’과 관련해 17일 “당 대표로서 깊이 사과드린다”고 밝혔다. 검찰이 12일 강제수사에 착수한 지 5일 만이다. 당초 ‘집권 ,https://n.news.naver.com/mnews/article/020/0003491861?sid=100
170,이재명 “송영길에 조기귀국 요청… 수사당국 공정수사 해달라”,,헤럴드경제,2023.04.17,이재명 더불어민주당 대표가 17일 송영길 전 대표가 당선됐던 ‘2021년 전당대회 돈 봉투 의혹’과 관련해 “이번 일로 국민 여러분께 심려를 끼쳐드린 점에 대해서 당 대표로서 깊이 사과드린다”고 말했다. 이 대표는 ,https://n.news.naver.com/mnews/article/016/0002131053?sid=100
171,"민주, 전대 돈봉투 의혹 자체조사 않기로…""실효성 없어""",,뉴시스,2023.04.17,"기사내용 요약 ""사건 성격상 수사권 필요…셀프조사 비판도"" ""가장 중요한 송영길 조기귀국에 당이 역할"" [서울=뉴시스]여동준 홍연우 기자 = 더불어민주당이 17일 지난 2021년 전당대회 과정에서 불법 정치자금이 오",https://n.news.naver.com/mnews/article/003/0011807277?sid=100
172,"""야당 탄압""이라더니...'돈봉투 의혹' 녹취록에 고개 숙인 민주당 [영상]",,데일리안,2023.04.17,더불어민주당은 17일 지난 2021년 전당대회 과정에서 9000여만원 금품이 살포됐다는 이른바 '돈 봉투 의혹'과 관련해 사과했다. 이는 초기 대응과 달리 의혹과 관련해 녹취록이 공개되자 입장을 바꾼 것이다.민주당은,https://n.news.naver.com/mnews/article/119/0002703427?sid=100
173,"이재명, '돈봉투 의혹'에 닷새만에 사과…""송영길 조기 귀국 요청""",,TV조선,2023.04.17,"더불어민주당 이재명 대표가 21년 전당대회 당시 '돈봉투 살포' 의혹 제기 닷새만에 ""국민께 심려를 끼친 점에 대해 당 대표로서 깊이 사과드린다""며 고개를 숙였다. 이 대표는 이날 국회에서 열린 최고위원회의 시작 전",https://n.news.naver.com/mnews/article/448/0000405080?sid=100
174,이재명 돈봉투 파문 닷새만에 뒤늦은 공식 사과,,미디어오늘,2023.04.17,이재명 더불어민주당 대표가 지난 2021년의 전당대회 과정에서 송영길 대표 측에서 벌어진 이른바 돈봉투 의혹과 관련해 검찰의 윤관석 의원 압수수색과 녹취육성 공개 닷새 만에 공식 사과했다. 애초부터 사과하고 수사에 ,https://n.news.naver.com/mnews/article/006/0000117690?sid=100
175,"[현장영상+] 이재명 ""송영길 전 대표 조기 귀국 요청""",,YTN,2023.04.17,더불어민주당 이재명 대표가 오늘 최고위원회의에서 지난 2021년 전당대회 당시 돈 봉투가 살포됐다는 의혹에 대해 공식입장을 밝혔습니다. 직접 들어보겠습니다. 먼저 한 말씀 드리고 최고위원회의를 시작하도록 하겠습니다.,https://n.news.naver.com/mnews/article/052/0001874092?sid=100
176,"이재명 ""깊이 사과""‥여당 ""수사 협조해야""",,MBC,2023.04.17,◀ 앵커 ▶ 더불어민주당 전당대회 불법자금 선거 의혹과 관련해서 민주당이 국민께 심려를 끼쳐드렸다며 사과하고 송영길 전 대표의 조속한 귀국을 요청했다고 밝혔습니다. 국민의힘은 의혹 당사자인 송영길 전 대표를 비롯한 ,https://n.news.naver.com/mnews/article/214/0001266823?sid=100
177,이재명 “돈 봉투 의혹 사과” 與 “더불어돈봉투당”,,KBS,2023.04.17,"2021년 민주당 전당대회 '돈 봉투 의혹'과 관련해 더불어민주당 이재명 대표가 공식 사과했습니다. 이 대표는 빠른 사태 수습을 위해 송영길 전 대표에게 조기 귀국도 요청했다고 밝혔는데, 국민의힘은 의혹 당사자인 송",https://n.news.naver.com/mnews/article/056/0011467092?sid=100
178,고개 숙인 이재명 “신속한 수사를”…당 진상조사 안 한다,,채널A,2023.04.17,뉴스에이 시작합니다. 저는 동정민입니다. 민주당 전당대회 돈봉투 의혹 사건과 관련해 이재명 대표가 첫 사과를 했습니다. 사건 불거진 지 닷새 만인데요. 대한민국 공당으로서 국민께 실망을 끼쳐드렸다고요. 그러면서 프랑,https://n.news.naver.com/mnews/article/449/0000247859?sid=100
179,"당정 ""교원 수급 감축 기조로…디지털전환-인구감소 고려""(종합)",,뉴스1,2023.04.17,"이균진 신윤하 기자 = 당정은 17일 교육 개혁과 관련해 중장기 방안으로 교원 수급 감축 기조를 계획하기로 했다. 디지털 대전환과 지방인구 소멸 방지 등을 고려해 유연하고, 학교 중심의 감축 계획을 추진한다. 국회 ",https://n.news.naver.com/mnews/article/421/0006751874?sid=100
180,"당정 ""교원정원 '감축'…이달 교원수급계획 발표""(종합2보)",,뉴시스,2023.04.17,"기사내용 요약 오늘 국회 교육위 여당-교육부 현안 당정협의 2024~2027 교원정원…與 ""'감축 기조'로 갈 것"" ""학사 규제 완화…일반대 전문학사 수여 허용"" [서울·세종=뉴시스]이지율 김정현 한은진 기자 = 국",https://n.news.naver.com/mnews/article/003/0011807554?sid=100
181,"‘0.78명’ 초저출산에 결국…교사 채용, 교대·사대 정원 감축 나선다(종합)",,조선비즈,2023.04.17,"출생아, 2016년까지 40만명 넘었지만 작년 25만명도 안 돼 학령인구 줄며 교사 수요 감소…교대·사대 정원은 그대로 임용시험 경쟁률 치솟고 ‘적체’ 현상 발생 당정, 이달 중 교원수급계획 발표 국민의힘과 정부가 ",https://n.news.naver.com/mnews/article/366/0000894246?sid=100
182,"당정 ""학사제도 대학 자율성 확대…교원 수급, 단계적으로 조정""",,노컷뉴스,2023.04.17,"핵심요약 교육부, 이달에 '대학 학사제도 관련 개편안' 대학규제개혁협의회를 통해 발표 교육부, '중장기 교원수급계획'도 이달 확정·발표 당정은 교육 현안 관련 당정협의회를 열고, 학사제도 운영에 있어 대학의 자율성을",https://n.news.naver.com/mnews/article/079/0003760136?sid=100
183,학생 50만명 줄 때 교사 2만명 늘어…교원·교대·사범대 정원 축소 '현실로',,서울경제,2023.04.17,당정이 학생 수가 줄어들고 있는 상황을 고려해 단계적으로 교사 신규 채용을 줄여 교원 규모를 감축하겠다는 뜻을 공식화했다. 구체적인 규모는 이달 내 ‘2024~2027 중장기 교원 수급계획’ 발표를 통해 공개될 예정,https://n.news.naver.com/mnews/article/011/0004179982?sid=100
184,학생수 급감에 '교사 줄이기' 가시화…다음주 교원수급계획 발표,,연합뉴스,2023.04.17,"2030년 초등 학령인구 추계치, 5년 전 발표 때보다 30% 감소 교원단체 ""근시안적 경제 논리…미래 교육 포기하는 것"" 고유선 김수현 기자 = 브레이크 없는 학령 인구 감소 속도에 정부와 여당이 교원 수 감축 방",https://n.news.naver.com/mnews/article/001/0013885975?sid=100
185,학령인구 급감에 교원 감축 가시화…교원 단체 반발,,노컷뉴스,2023.04.17,"핵심요약 당정, 학령 인구 급감을 이유로 교원 감축 방침 사실상 공식화 국민의힘 이태규 의원 ""정원 감축 기조는 맞다"" 교육부, 이달에 '중장기(2024~2027년) 교원수급계획' 발표 교원단체 ""교원 감축, 경제논",https://n.news.naver.com/mnews/article/079/0003760319?sid=100
186,"당정 ""학령 인구 감소 따라 신규 교사 채용 조정""(종합)",,뉴시스,2023.04.17,"기사내용 요약 ""교원 양성기관 정원 '감축 기조'로 갈 것"" ""현실 고려해 유연하게 감축 계획 수립"" [서울=뉴시스] 이지율 한은진 기자 = 국민의힘과 정부는 17일 교원 양성기관 정원을 '감축 기조'로 가며 교사 ",https://n.news.naver.com/mnews/article/003/0011807448?sid=100
187,당정 “교사 수 줄인다”…교원 단체 “미래 교육 포기하는 것”,,서울신문,2023.04.17,교원 감축 공식화…다음주 교원수급계획 발표 국민의힘과 정부가 학생 수 감소를 고려해 교사 수를 줄이는 방향으로 중장기 교원수급계획을 내놓겠다고 밝혔다. 국민의힘과 교육부는 17일 국회의원회관에서 당정협의회를 열고 “,https://n.news.naver.com/mnews/article/081/0003354425?sid=100
188,학령인구 감소세에 교사 채용도 줄인다,,이데일리,2023.04.17,국민의힘과 정부는 학령인구 감소를 고려해 교사의 수를 줄이는 방향으로 이달 내 중장기(2024~2027년) 교원수급계획을 내놓겠다고 17일 밝혔다. 국회 교육위원회 여당 간사인 이태규 국민의힘 의원은 이날 국회 의원,https://n.news.naver.com/mnews/article/018/0005465875?sid=100
189,"당정, 학령인구 감소 따라 교사 신규채용 단계적 '감축'키로",,이데일리,2023.04.17,당정은 학령인구 감소에 따라 교원 양성기관의 정원을 감축해나가기로 했다. 또 교사 신규채용도 단계적으로 줄여나가기로 했다. 국회 교육위원회 여당 간사인 이태규 의원은 17일 국회 의원회관에서 진행된 교육현안 관련 당,https://n.news.naver.com/mnews/article/018/0005465642?sid=100
190,"당정 ""학사제도 대학 자율로…교사 신규채용, 단계적으로 조정""",,연합뉴스,2023.04.17,"교육현안 당정협의회…이주호 부총리 ""대학 '규제의 벽' 허물 시간"" 국민의힘과 교육부가 17일 교육 현안 관련 당정협의회를 열고, 학사제도 운영에 있어 대학의 자율성을 대폭 확대하기로 했다. 당정은 이날 오전 국회의",https://n.news.naver.com/mnews/article/001/0013885051?sid=100
191,당정 “교사 신규채용 줄인다… 전문대·일반대 통폐합시 일반대가 학사관리”,,헤럴드경제,2023.04.17,국민의힘과 정부는 17일 학생 수 감소를 고려해 교사 수를 줄이는 방향으로 이달 내 중장기 교원수급계획을 내놓겠다고 밝혔다. 일반대와 전문대의 학사 운영을 통합 관리하겠다는 의사도 표했다. 국회 교육위원회 여당 간사,https://n.news.naver.com/mnews/article/016/0002131314?sid=100
192,"당정 '교원 감축' 방침 공식화…교원단체 ""미래교육 포기""",,뉴스1,2023.04.18,양새롬 서한샘 기자 = 정부와 여당이 향후 5년간 공립 초·중등학교 교사 수를 감축한다는 기조를 공식적으로 밝히면서 교원과 예비교원들의 반발이 더욱 거세질 것으로 18일 전망된다. 국민의힘과 교육부는 전날 국회에서 ,https://n.news.naver.com/mnews/article/421/0006753220?sid=100
193,"당정 ""학령인구 감소 맞춰 교원 정원 감축""… 이달 중장기 계획 발표",,한국일보,2023.04.17,국민의힘과 정부가 17일 학령인구 감소를 고려해 교사 수를 줄이는 방향으로 중장기 교원수급계획을 내놓겠다고 밝혔다. 아울러 학생과 산업계 수요에 맞춰 탄력적인 학사제도 운영을 할 수 있도록 대학의 자율성을 대폭 확대,https://n.news.naver.com/mnews/article/469/0000734575?sid=100
194,"당정 ""교원정수 감축 '공감'…이달 중 교원수급계획 발표""",,아시아경제,2023.04.17,정부여당이 학령인구가 줄어드는 점을 고려해 교원 수를 감축하는 방향으로 교원수급계획을 내놓기로 했다. 학사제도 운영에 있어서는 대학의 자율성을 대폭 확대하기로 했다. 국민의힘은 17일 오전 국회 의원회관에서 열린 당,https://n.news.naver.com/mnews/article/277/0005246593?sid=100
195,"교사 수 감축, 발표만 앞뒀다…당정 ""교사 신규채용·양성기관 정원 단계적 조정""",,강원도민일보,2023.04.17,정부와 국민의힘이 17일 교사 신규 채용과 교원 양성기관 정원을 조정하는 등 교사 수를 감축한다는 기조를 밝혔다. 구체적인 감축 규모는 이달 내 발표할 '중장기(2024∼2027년) 교원수급계획'에 반영될 전망이다.,https://n.news.naver.com/mnews/article/654/0000037800?sid=100
196,당정 “교사 정원 단계적 감축” 첫 공식화,,서울신문,2023.04.18,국민의힘과 정부가 학령인구 감소에 따라 교사수 감축을 추진하기로 했다. 대학의 학사제도 운영 자율성도 대폭 확대하기로 했다. 당정은 17일 국회 교육위원회 여당 간사인 이태규 국민의힘 의원과 이주호 부총리 겸 교육부,https://n.news.naver.com/mnews/article/081/0003354455?sid=100
197,"당정 ""교사 신규채용 단계적으로 조정, 교원수급계획 이달 발표""",,머니투데이,2023.04.17,정부와 여당이 교원 규모를 조정하는데 의견을 모았다. 학령인구가 급격히 줄어들고 있는 상황에서 중장기 교원수급계획을 새로 짜야 하는 상황이기 때문이다. 당정은 학사제도 운영 과정에서 대학의 자율성을 확보하는 방향에도,https://n.news.naver.com/mnews/article/008/0004875903?sid=100
198,"""학령 인구 감소 따른 신규 교사 채용 규모 조정 필요""",,매일신문,2023.04.17,"국민의힘과 정부가 학령인구 감소 추세에 따라 단계적으로 신규 교원 채용 규모를 조정하고, 교원 인력이 효율적으로 운영되도록 관리 강화에 나선다. 교원양성기관의 정원도 조정할 필요가 있다는 데 뜻을 함께 했다. 17일",https://n.news.naver.com/mnews/article/088/0000809294?sid=100
199,"당정, 교육 현안 대책 협의체 가동... ""교원수급, 감축 방향 동의""",,파이낸셜뉴스,2023.04.17,"여당인 국민의힘과 교육부가 17일 협의체를 가동하고 교육현안 논의에 나섰다. 당정은 ""교원 수급 계획은 학령 인구 감소에 따라 적정 규모로 조정해야 한다""며 감축 방향에 동의했다고 설명했다. 국민의힘 소속 교육위원회",https://n.news.naver.com/mnews/article/014/0004998181?sid=100
200,“학교 입학할 애들도 없는데”…교사 신규채용 축소한다,,매일경제,2023.04.17,국민의힘과 교육부는 17일 전문대학과 일반대학이 통합할 경우 일반대학에서도 전문학사과정을 운영하는 등 대학 학사제도의 자율성을 최대한 보장하기로 의견을 모았다. 또 단계적으로 교원 정원을 조정하면서 교원 수급 불균형,https://n.news.naver.com/mnews/article/009/0005117845?sid=100
201,당정협 “교사 수 단계적 감축”… 교원단체·예비 교사 반발 예상,,국민일보,2023.04.18,정부와 여당이 학생 수 감소 추세에 맞춰 교사 수를 줄여나가기로 방향을 정했다. 학생 맞춤형 교육을 통한 미래인재 양성을 위해 교사를 줄이는 건 곤란하다는 입장과 급격한 학령인구 감소로 교사를 줄일 수밖에 없다는 주,https://n.news.naver.com/mnews/article/005/0001601938?sid=100
202,"당정, 학생수 감소에 교사 줄이기로…교원단체 반발",,KBS,2023.04.18,"학령 인구 감소 속도가 빨라지면서, 정부와 여당이 교원 수를 줄이겠단 방침을 내놓았습니다. 내년부터 단계적으로 교사 신규 채용 규모를 조정하겠단 건데, 교원 단체는 근시안적인 정책이라며 반발했습니다. 김성수 기자입니",https://n.news.naver.com/mnews/article/056/0011467497?sid=100
203,"한일, 5년만에 오늘 '2+2외교안보대화'…북핵 대응 등 논의",,연합뉴스,2023.04.17,정상회담 후속 조치 …양국 외교·국방 국장급 참석 한일 정상회담 후속 조치로 양국 외교·국방 협력 방안을 논의하는 '국장급 2+2 외교안보 대화'가 17일 오전 서울에서 열린다. 한일은 서민정 외교부 아시아태평양국장,https://n.news.naver.com/mnews/article/001/0013883964?sid=100
204,5년 만에 한·일 2+2 외교안보 대화…북핵 지소미아 협력 다뤘나,,중앙일보,2023.04.17,"한ㆍ일 외교·국방 당국이 참여하는 국장급 '2+2 외교안보 대화'가 17일 서울에서 5년만에 재개됐다. 양국은 ""북핵 문제를 포함한 동북아 안보 환경, 한ㆍ일 외교·국방 정책 협력, 한ㆍ미ㆍ일 협력 현황 등에 대해 ",https://n.news.naver.com/mnews/article/025/0003273728?sid=100
205,5년만에 재개된 한일 외교·국방대화…안보협력 미래지향적 발전 합의,,노컷뉴스,2023.04.17,핵심요약 2시간 30분 진행된 협의…한일 안보협력 심도 깊은 논의 한미정상회담을 일주일 앞둔 가운데 한일 양국의 외교와 국방 분야 국장급이 참여하는 2+2 형태의 외교안보 대화가 17일 5년 만에 서울에서 재개됐다.,https://n.news.naver.com/mnews/article/079/0003760176?sid=100
206,"한일, 5년 만 2+2 외교안보대화…""상대국 국방안보 정책 이해 제고""(종합)",,뉴시스,2023.04.17,"기사내용 요약 북핵 관련 한일·한미일 협력 논의 ""한일 안보협력, 미래지향적 발전"" [서울=뉴시스]최서진 기자 = 한일 양국의 외교·국방 당국이 참여하는 '2+2' 형태의 국장급 외교안보 대화가 서울에서 5년 만에 ",https://n.news.naver.com/mnews/article/003/0011807794?sid=100
207,5년만에 열린 한일 2+2 안보정책대화 “미래지향적 안보협력”,,헤럴드경제,2023.04.17,"한일 양국의 외교국방 당국자가 참여하는 ‘2+2’ 국장급 외교안보 대화가 5년만에 서울에서 개최, 양국 간 안보협력을 미래지향적 방향으로 발전시켜 나가자는데 의견을 모았다. 외교부에 따르면 17일 오전 서울 외교 청",https://n.news.naver.com/mnews/article/016/0002131362?sid=100
208,"한일, 5년 만에 '2+2' 외교안보 대화 재개…안보 협력 등 논의",,SBS,2023.04.17,"한일 양국의 외교·국방 당국이 참여하는 '2+2' 형태의 국장급 외교안보 대화가 서울에서 5년 만에 재개됐습니다. 양국은 오늘(17일) 오전 서울 외교부 청사에서 한국 외교부와 국방부, 일본 외무성과 방위성 인사들이",https://n.news.naver.com/mnews/article/055/0001051053?sid=100
209,한일안보정책협의회,,파이낸셜뉴스,2023.04.17,"17일 서울 종로구 외교부에서 열린 한일 제12차 안보 정책협의회 이른바 '2+2(외교·국방) 외교·안보 대화'에 우리 측 대표인 서민정 외교부 아시아태평양국장, 우경석 국방부 국제정책 차장과 일본 측 대표 후나코시",https://n.news.naver.com/mnews/article/014/0004997889?sid=100
210,"한일, 5년만에 2+2 외교안보대화… “안보협력 속도낼 것”",,조선일보,2023.04.17,재무·국방장관 회담도 재개 전망 한국과 일본은 17일 오전 서울에서 외교·국방 분야 국장급 당국자가 참석하는 ‘2+2 외교 안보 대화(제12차 한일안보정책협의회)’를 개최했다고 밝혔다. 이번 협의는 2018년 3월 ,https://n.news.naver.com/mnews/article/023/0003758298?sid=100
