title,showTm,grade,peopleNm,sale,audi,screen,staff_cnt,star_grade,direc_grade,ott_num,month,weight_y,actor_cnt,distributor,percentage,search
히말라야,127,12세이상,이석훈,4.02E+11,51813065,3673,410,6.6,10,4,12,0.647057,2,CJ 엔터테인먼트,20.88888889,1186
내부자들: 디 오리지널,180,18세이상,우민호,1.18E+11,14495472,3613,3,9,9,3,12,0.647057,3,㈜쇼박스 Showbox Inc.,9.333333333,1288
내부자들,130,18세이상,우민호,1.13E+11,14137958,3500,311,8.2,9,4,11,0.293613,3,㈜쇼박스 Showbox Inc.,9.333333333,1419
마약왕,139,18세이상,우민호,58666355568,6726040,3180,505,5.5,9,3,12,0.647057,3,㈜쇼박스 Showbox Inc.,9.333333333,1236
조선마술사,122,12세이상,김대승,17615948308,2381871,1390,438,6.3,4,3,12,0.647057,2,롯데컬처웍스(주)롯데엔터테인먼트,8.444444444,1312
대호,139,12세이상,박훈정,53542024728,6991441,993,521,7.8,9,2,12,0.647057,1,(주)NEW,12.88888889,1194
브이아이피,127,18세이상,박훈정,51048276131,6366785,2707,527,6.1,9,1,8,1,4,워너브러더스 코리아㈜,3.555555556,1315
마녀,125,15세이상,박훈정,1.52E+11,17781126,4669,419,8,9,1,6,0.289811,4,워너브러더스 코리아㈜,3.555555556,1281
신세계,134,18세이상,박훈정,34892973605,4684571,2000,308,8.6,9,2,2,0.868964,3,(주)NEW,12.88888889,4954
뽀로로 극장판 컴퓨터 왕국 대모험,62,전체관람가,박영균,16229563100,2188803,335,196,8,5,1,12,0.647057,7,(주)NEW,12.88888889,993
나를 잊지 말아요,106,15세이상,이윤정,12577850600,1568349,1339,244,6.3,1,3,1,0.540513,2,CJ 엔터테인먼트,20.88888889,2043
극적인 하룻밤,107,18세이상,하기호,2616499429,321616,700,279,6.7,5,3,12,0.647057,2,CGV아트하우스,5.333333333,2173
애수의 샌프란시스코,96,전체관람가,정소영,796000,405,1,0,3.25,4,1,3,0.250894,3,CGV아트하우스,5.333333333,10
미워도 다시 한번 3,91,12세이상,정소영,9322000,4661,3,0,6.2,4,1,1,0.540513,4,CGV아트하우스,5.333333333,10
너는 내 운명,95,18세이상,정소영,1312000,656,1,5,8.9,4,1,3,0.250894,2,CGV아트하우스,5.333333333,1377
잡아야 산다,96,15세이상,오인천,722905000,95088,427,172,3.8,1,3,1,0.540513,2,오퍼스픽쳐스,3.555555556,1387
그날의 분위기,103,15세이상,조규장,28010980672,3539761,1640,249,5.9,7,4,1,0.540513,2,㈜쇼박스 Showbox Inc.,9.333333333,1395
목격자,111,15세이상,조규장,95714310361,11072236,3656,289,5.4,7,2,8,1,4,(주)NEW,12.88888889,2116
순정,113,12세이상,이은희,8593153465,1183698,998,243,8.3,4,1,2,0.868964,8,리틀빅픽처스,6.222222222,1496
극장판 꼬마버스 타요의 에이스 구출작전,48,전체관람가,류정우,3769705800,561495,522,167,8.8,7,1,1,0.540513,4,아이코닉스,0.444444444,10
검사외전,126,15세이상,이일형,6.25E+11,78424737,6654,430,6.5,10,4,2,0.868964,2,㈜쇼박스 Showbox Inc.,9.333333333,1313
동주,110,12세이상,이준익,1.62E+11,21410874,2845,128,8.9,8,3,2,0.868964,2,㈜쇼박스 Showbox Inc.,9.333333333,2043
사도,125,12세이상,이준익,48845771501,6247607,3000,345,7.9,8,4,9,0.439319,3,㈜쇼박스 Showbox Inc.,9.333333333,2488
박열,128,12세이상,이준익,1.49E+11,19386924,4031,340,8,8,2,6,0.289811,3,㈜쇼박스 Showbox Inc.,9.333333333,1195
최강전사 미니특공대: 영웅의 탄생,68,전체관람가,이영준,2837265500,377602,874,105,8.1,3,1,2,0.868964,0,㈜쇼박스 Showbox Inc.,9.333333333,10
미니특공대X,67,전체관람가,이영준,3227723300,431355,1031,161,4,3,1,3,0.250894,4,삼지애니메이션,1.333333333,10
번개맨,72,전체관람가,조근현,1923043300,254895,727,279,5.8,4,1,2,0.868964,2,(주)키다리스튜디오,2.222222222,416
그것만이 내 세상,120,12세이상,조근현,1.54E+11,19107461,4849,296,8.8,4,4,1,0.540513,3,CJ 엔터테인먼트,20.88888889,1946
좋아해줘,122,12세이상,박현진,29124410685,3755094,1784,283,8,6,4,2,0.868964,6,CJ 엔터테인먼트,20.88888889,1947
귀향,127,15세이상,조정래,2.14E+11,28146698,4315,204,9.7,9,3,2,0.868964,12,(주)와우픽쳐스,0.444444444,659
남과 여,115,18세이상,이윤기,7524302465,926612,1029,238,7.5,4,1,2,0.868964,2,㈜쇼박스 Showbox Inc.,9.333333333,2794
어느날,113,15세이상,이윤기,6749048028,852947,1350,207,7.5,4,1,4,0.179928,2,오퍼스픽쳐스,3.555555556,2448
무수단,87,15세이상,구모,244607300,30286,419,164,3.2,2,4,3,0.250894,2,오퍼스픽쳐스,3.555555556,971
널 기다리며,108,18세이상,모홍진,22733841460,2747708,1794,269,7.4,9,1,3,0.250894,3,(주)NEW,12.88888889,1593
수상한 언니들,97,18세이상,노진수,2583000,466,21,40,6.7,1,1,3,0.250894,6,㈜투한미디어,0.444444444,1332
사랑받지 못한 여자,87,18세이상,노진수,2097000,327,14,51,6.7,1,1,1,0.540513,2,㈜모멘텀엔터테인먼트,0.444444444,1438
