순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
64,고독이 몸부림칠 때,2004-03-19,0,0.0%,"34,349",12,한국,한국,"(주)쇼박스,영화사풍년상회(주)"
65,마법경찰 갈갈이와 옥동자,2004-02-13,0,0.0%,"18,346",16,한국,한국,콜럼비아트라이스타㈜
1,웰컴 투 동막골,2005-08-04,0,0.0%,"8,008,622",114,한국,한국,(주)쇼박스
2,가문의 위기(가문의 영광2),2005-09-07,0,0.0%,"5,635,266",101,한국,한국,(주)쇼박스
3,말아톤,2005-01-27,0,0.0%,"5,148,022",73,한국,한국,(주)쇼박스
4,공공의 적 2,2005-01-27,0,0.0%,"3,911,356",95,한국,한국,(주)시네마서비스
5,태풍,2005-12-14,0,0.0%,"3,723,752",115,한국,한국,CJ ENM
6,친절한 금자씨,2005-07-29,0,0.0%,"3,650,000",127,한국,한국,CJ ENM
7,마파도,2005-03-10,0,0.0%,"3,090,467",58,한국,한국,CJ ENM
8,너는 내 운명,2005-09-23,0,0.0%,"3,051,134",92,한국,한국,CJ ENM
9,내 생애 가장 아름다운 일주일,2005-10-07,0,0.0%,"2,533,103",105,한국,한국,CJ ENM
10,박수칠 때 떠나라,2005-08-11,0,0.0%,"2,475,291",78,한국,한국,(주)시네마서비스
11,광식이 동생 광태,2005-11-23,0,0.0%,"2,430,200",83,한국,한국,(주)엠케이픽처스
12,혈의 누,2005-05-04,0,0.0%,"2,274,995",98,한국,한국,(주)시네마서비스
13,댄서의 순정,2005-04-28,0,0.0%,"2,197,555",68,한국,한국,쇼이스트(주)
14,잠복근무,2005-03-17,0,0.0%,"1,914,941",64,한국,한국,(주)쇼박스
15,연애의 목적,2005-06-10,0,0.0%,"1,735,977",75,한국,한국,CJ ENM
16,주먹이 운다(Crying Fist),2005-04-01,0,0.0%,"1,728,477",71,한국,한국,쇼이스트(주)
17,작업의 정석,2005-12-21,0,0.0%,"1,672,862",75,한국,한국,(주)쇼박스
18,간 큰 가족,2005-06-09,0,0.0%,"1,593,038",75,한국,한국,(주)쇼박스
19,야수와 미녀,2005-10-27,0,0.0%,"1,561,282",54,한국,한국,(주)쇼박스
20,B형 남자친구,2005-02-03,0,0.0%,"1,485,454",47,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
21,분홍신,2005-06-30,0,0.0%,"1,371,122",54,한국,한국,(주)쇼박스
22,달콤한 인생,2005-04-01,0,0.0%,"1,271,595",82,한국,한국,CJ ENM
23,미스터 소크라테스,2005-11-10,0,0.0%,"1,261,965",52,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
24,천군,2005-07-15,0,0.0%,"1,232,992",58,한국,한국,(주)쇼박스
25,형사 Duelist,2005-09-08,0,0.0%,"1,203,146",88,한국,한국,코리아픽쳐스(주)
26,파송송 계란탁,2005-02-18,0,0.0%,"1,193,150",48,한국,한국,CJ ENM
27,몽정기2,2005-01-14,0,0.0%,"1,188,815",41,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
28,연애술사,2005-05-20,0,0.0%,"1,163,274",55,한국,한국,CJ ENM
29,"안녕, 형아",2005-05-27,0,0.0%,"1,143,136",45,한국,한국,(주)시네마서비스
30,그때 그 사람들,2005-02-03,0,0.0%,"1,083,962",45,한국,한국,(주)엠케이픽처스
31,새드무비,2005-10-20,0,0.0%,"1,066,765",87,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,아이러브시네마"
32,남극일기,2005-05-19,0,0.0%,"1,057,311",78,한국,한국,(주)쇼박스
33,강력 3반,2005-09-29,0,0.0%,"989,573",41,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
34,오로라 공주,2005-10-27,0,0.0%,"946,372",47,한국,한국,(주)시네마서비스
35,왕의 남자,2005-12-29,0,0.0%,"841,496",79,한국,한국,(주)시네마서비스
36,"이대로, 죽을 순 없다(Short Time)",2005-08-18,0,0.0%,"838,419",42,한국,한국,쇼이스트(주)
37,외출,2005-09-07,0,0.0%,"809,191",78,한국,한국,쇼이스트(주)
38,나의 결혼원정기,2005-11-23,0,0.0%,"767,657",76,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
39,6월의 일기,2005-12-01,0,0.0%,"697,980",46,한국,한국,(주)쇼박스
40,무영검,2005-11-18,0,0.0%,"609,852",79,한국,한국,CJ ENM
41,역전의 명수,2005-04-15,0,0.0%,"602,078",61,한국,한국,(주)시네마서비스
42,가발,2005-08-12,0,0.0%,"545,591",48,한국,한국,CJ ENM
43,키다리 아저씨,2005-01-14,0,0.0%,"528,817",43,한국,한국,CJ ENM
44,여고괴담 4 : 목소리,2005-07-15,0,0.0%,"508,319",49,한국,한국,(주)시네마서비스
45,미스터 주부퀴즈왕,2005-09-30,0,0.0%,"413,157",52,한국,한국,(주)쇼박스
46,"사랑해, 말순씨",2005-11-03,0,0.0%,"406,526",44,한국,한국,쇼이스트(주)
47,파랑주의보,2005-12-22,0,0.0%,"321,404",34,한국,한국,아이러브시네마
49,"제니, 주노",2005-02-18,0,0.0%,"289,829",29,한국,한국,쇼이스트(주)
