,title,moviecode,openDt
688,극장판 또봇: 로봇군단의 습격,20174165,2017-04-27
689,슈퍼 빼꼼: 스파이 대작전,20173061,2017-05-03
697,석조저택 살인사건,20156708,2017-05-09
699,콕!애니 - [섹션3] Old but New : 변주,20174325, 
707,불한당: 나쁜 놈들의 세상,20164844,2017-05-17
709,12인의 하숙생,19790004,1979-01-16
719,아가씨 참으세요,19810031,1981-09-19
726,노무현입니다,20174602,2017-05-25
728,파워배틀 와치카: 와치가면의 역습,20175581,2017-06-01
729,대립군,20169348,2017-05-31
745,청춘 합창단 - 또 하나의 꿈,20177223,2017-06-15
746,악녀,20162343,2017-06-08
755,하루,20166384,2017-06-15
757,박열,20178982,2017-06-28
781,리얼,20159647,2017-06-28
787,지옥화,20100511,1958-04-20
789,MSFF2017 사랑에 관한 짧은 필름 4,20177546, 
795,젝스키스 20주년 기념 하와이 영상 NEW KIES ON THE [HONOLULU],20179807, 
801,택시운전사,20162869,2017-08-02
807,군함도,20161481,2017-07-26
808,청년경찰,20162442,2017-08-09
817,장산범,20151003,2017-08-17
827,단편2: 다섯 번째 계절들 [썸머프라이드시네마],20179983, 
829,무정,20177533, 
835,그 여자의 죄가 아니다,20179732, 
837,박쥐,20081003,2009-04-30
838,공동경비구역 JSA,20000044,2000-09-08
839,친절한 금자씨,20050148,2005-07-29
846,구세주: 리턴즈,20173826,2017-09-14
847,로마의 휴일,20179407,2017-08-30
848,복수는 나의 것,20020106,2002-03-28
849,맛있는 섹스 은밀한 동거,20170307,2017-08-08
854,브이아이피,20164174,2017-08-23
856,두 엄마,20179826,2017-08-14
858,노트르담 드 파리,20171885,2017-11-01
868,붉은 비키니 무삭제판,20171818,2017-08-21
869,유관순,20163364, 
876,살인자의 기억법,20154909,2017-09-06
877,게이봉박두5 : 자유로운 연애중,20171644, 
879,원정여행,20170444,2017-08-31
886,아이 캔 스피크,20174142,2017-09-21
889,이웃집 스타,20172964,2017-09-21
898,범죄도시,20172742,2017-10-03
912,남한산성,20165450,2017-10-03
915,넛잡 2,20171817,2017-10-03
918,김장+손의 무게+미열,20172757, 
919,부라더,20172603,2017-11-02
933,희생부활자,20154907,2017-10-12
935,대장 김창수,20164424,2017-10-19
948,채비,20175441,2017-11-09
954,뷰티풀 투모로우,20175208,2017-10-26
958,침묵,20169643,2017-11-02
959,역모-반란의 시대,20173903,2017-11-23
969,클래식,20030003,2003-01-30
972,미옥,20161681,2017-11-09
980,7호실,20168754,2017-11-15
985,꾼,20165748,2017-11-22
996,반드시 잡는다,20161762,2017-11-29
1001,기억의 밤,20173581,2017-11-29
1008,뽀로로 극장판 공룡섬 대모험,20174846,2017-12-07
1020,강철비,20170402,2017-12-14
1025,신과함께-죄와 벌,20150976,2017-12-20
1026,1987,20170590,2017-12-27
1029,어둠의 자식들,19810021,1981-08-07
1038,꼭두각시,20138712,2013-06-20
1044,돌아와요 부산항애(愛),20175830,2018-01-17
1046,광인옥한흠,20176769,2017-12-28
1048,1급기밀,20168161,2018-01-24
1049,"서울영화제 ""사람들의 이야기""",20177803, 
1054,그것만이 내 세상,20176104,2018-01-17
1065,젝스키스 에이틴,20189525,2018-01-18
1078,비밥바룰라,20177473,2018-01-24
1086,염력,20168323,2018-01-31
1095,조선명탐정: 흡혈괴마의 비밀,20179205,2018-02-08
1105,터닝메카드W: 반다인의 비밀 특별판,20189761,2018-02-08
1107,골든슬럼버,20168250,2018-02-14
1112,흥부: 글로 세상을 바꾼 자,20176121,2018-02-14
1118,리틀 포레스트,20170841,2018-02-28
1128,궁합,20150969,2018-02-28
1132,게이트,20189663,2018-02-28
1140,사라진 밤,20178781,2018-03-07
1144,지금 만나러 갑니다,20170669,2018-03-14
1147,치즈인더트랩,20172244,2018-03-14
1148,덕구,20181561,2018-04-05
1155,곤지암,20180804,2018-03-28
1159,미니특공대X,20181366,2018-03-22
1167,7년의 밤,20154908,2018-03-28
1176,바람 바람 바람,20153447,2018-04-05
1185,번개맨과 신비의 섬,20182021,2018-04-05
1188,머니백,20165045,2018-04-12
1195,스파키,20182221,2018-04-12
1201,나를 기억해,20177266,2018-04-19
1214,레슬러,20177005,2018-05-09
1219,챔피언,20189783,2018-05-01
1229,파파 오랑후탄,20175046,2018-04-19
1234,독전,20179383,2018-05-22
1235,감시자들,20122783,2013-07-03
1236,국제시장,20137048,2014-12-17
1240,버닝,20173202,2018-05-17
1246,내 엄마의 친구,20183802,2018-05-17
1248,정사 : 아내의 친구,20182583,2018-05-17
1254,데자뷰,20173865,2018-05-30
1257,여동생 친구,20184443,2018-05-23
1258,탐정: 리턴즈,20178161,2018-06-13
1274,허스토리,20172469,2018-06-27
1275,변산,20174369,2018-07-04
1278,여중생A,20184101,2018-06-20
1287,마녀,20185341,2018-06-27
1296,게이트-완결판,20186926,2018-06-21
1306,안나 카레니나,20185484,2018-06-29
1307,종각,19588024, 
1309,MSFF2018 사랑에 관한 짧은 필름 1,20186203, 
1316,속닥속닥,20180282,2018-07-13
1318,MSFF2018 비정성시 1,20186185, 
1319,음란 조선 기방,20184427,2018-07-04
1325,Replay_내일+미지와의 조우+알송달송,20186362, 
1331,독전: 익스텐디드 컷,20188042,2018-07-18
1336,인랑,20170942,2018-07-25
