연도,연령대,Tving ,왓챠플레이,넷플릭스,Wavve
2020,10대,1.1,0.1,11.4,0.9
2020,20대,2.1,1.2,18.1,5.1
2020,30대,2.8,0.3,20.2,4.2
2020,40대,0.7,0,7.6,0.9
2020,50대,1.3,0,3.4,0.6
2020,60대,0,0,1.5,0
2020,70세 이상,0,0,3,0
