title,showTm,grade,peopleNm,sale,audi,screen,staff_cnt,star_grade,direc_grade,ott_num,month
공조,125,15세이상관람가,김성훈,4.05E+11,49594953,6414,426,7.2,10,4,1
뽀로로 극장판 공룡섬 대모험,78,전체관람가,김성훈,48556996000,6425681,2640,269,8.4,10,1,12
"시발, 놈: 인류의 시작",71,15세이상관람가,백승기,6370200,827,13,42,4.7,1,1,8
"고산자, 대동여지도",129,전체관람가,강우석,40360787887,5028184,2282,514,7.3,6,4,9
올레,103,15세이상관람가,채두병,1453161700,184281,704,203,6.9,3,3,8
밀정,139,15세이상관람가,김지운,4.29E+11,52394697,6109,444,7.7,10,2,9
인랑,138,15세이상관람가,김지운,40856251371,5242289,1986,881,4.6,10,2,7
달빛궁궐,80,전체관람가,김현주,8380158800,1111071,924,243,5.8,4,1,9
살인의 추억,127,15세관람가,봉준호,99196888,15428,50,150,9.4,10,4,4
마더,128,청소년관람불가,봉준호,39967968600,5962574,2500,357,8.1,10,1,5
기생충,131,15세이상관람가,봉준호,9.17E+11,107371684,8982,623,7.9,10,4,5
아수라,132,청소년관람불가,김성수,1.16E+11,14636637,3524,496,6.8,8,4,9
물레방아,92,12세이상관람가,이만희,2010000,1005,3,7,9,6,1,11
럭키,112,15세이상관람가,이계벽,3.75E+11,46200810,6757,409,7,10,1,10
"힘을 내요, 미스터 리",110,12세이상관람가,이계벽,86674227454,10268319,2798,474,7.7,10,3,9
걷기왕,92,12세이상관람가,백승화,4607459625,610342,1056,209,6.9,3,3,10
사랑하기 때문에,110,12세이상관람가,주지홍,12852605000,1630347,1364,243,7.8,2,2,1
혼숨,88,15세이상관람가,이두환,8066325811,1030022,1289,208,6.2,5,2,10
스플릿,121,15세이상관람가,최국희,27373397086,3382319,2177,223,7.6,8,3,11
국가부도의 날,114,12세이상관람가,최국희,1.88E+11,22821542,4602,382,8.1,8,4,11
가려진 시간,129,12세이상관람가,엄태화,26524658267,3420930,2097,419,7.6,5,3,11
형,109,12세이상관람가,권수경,1.61E+11,20753583,3915,321,7.3,9,4,11
아더왕의 전설,127,전체관람가,정성복,7473500,493,5,0,8.93,2,1,11
노트르담 드 파리,129,전체관람가,정성복,73353500,5994,38,1,8.5,2,1,11
미씽: 사라진 여자,99,15세이상관람가,이언희,40149620085,5205783,2330,272,7.6,8,2,11
탐정: 리턴즈,116,15세이상관람가,이언희,1.85E+11,21555983,4770,307,7.4,8,3,6
두 남자,91,청소년관람불가,이성태,1317348463,172300,769,126,6.3,5,3,11
양자물리학,119,15세이상관람가,이성태,21197894250,2591447,1950,377,8.5,5,3,9
암살,139,15세이상관람가,최동훈,98465102781,12706341,2900,511,8.5,10,1,7
목숨 건 연애,103,15세이상관람가,송민규,1012976600,134362,726,310,5.1,3,1,12
마스터,142,15세이상관람가,조의석,5.27E+11,64882973,5824,427,7.2,9,1,12
더 킹,134,15세이상관람가,한재림,2.18E+11,26587926,4908,449,7.5,10,2,1
음란 과외 - 무삭제판,93,청소년관람불가,최우성,842000,165,19,1,3,1,1,1
음란 선비 - 무삭제판,90,청소년관람불가,최우성,842000,165,20,0,8,1,1,1
미용실 : 특별한 서비스 무삭제,91,청소년관람불가,이리단,593000,116,20,3,5,1,1,1
조작된 도시,126,15세이상관람가,박광현,1.65E+11,20489362,3536,634,8,8,3,2
"그래, 가족",106,12세이상관람가,마대윤,960142400,127230,712,193,7.6,3,2,2
레이디버그,80,전체관람가,장성,808779500,106661,344,76,6.7,2,1,2
원라인,131,15세이상관람가,양경모,12078008632,1578218,1621,277,7.5,5,2,3
비정규직 특수요원,117,15세이상관람가,김덕수,3187129600,412312,1039,266,6.3,4,4,3
왕을 참하라,115,청소년관람불가,김재수,58414700,7528,98,135,6.2,2,1,3
보통사람,121,15세이상관람가,김봉한,10785712892,1389496,1607,261,8.1,5,3,3
시간위의 집,99,15세이상관람가,임대웅,2846275700,357987,1005,217,6.3,3,4,4
아빠는 딸,114,12세이상관람가,김형협,36730600186,4686990,1983,172,6.9,6,3,4
임금님의 사건수첩,114,12세이상관람가,문현성,80376396156,10372582,3114,363,7.2,8,4,4
청불학원: 무삭제판,102,청소년관람불가,장항준,2353000,465,20,0,6.9,7,1,4
특별시민,130,15세이상관람가,박인제,69737707215,9044805,2928,351,6.4,7,3,4
극장판 또봇: 로봇군단의 습격,81,전체관람가,이민재,4709338500,610360,555,208,9.4,4,1,4
슈퍼 빼꼼: 스파이 대작전,76,전체관람가,이창동,4068352700,566445,604,85,7.8,6,2,5
불한당: 나쁜 놈들의 세상,119,청소년관람불가,변성현,1.25E+11,15531930,2550,508,4.3,6,3,5
파워배틀 와치카: 와치가면의 역습,73,전체관람가,박희준,586727000,81572,459,113,10,1,2,6
대립군,129,15세이상관람가,정윤철,35541509012,4715928,2012,637,7.9,6,2,5
악녀,123,청소년관람불가,정병길,59286171439,7326525,2792,307,6.7,7,2,6
하루,90,15세이상관람가,조선호,39785307316,4928343,2607,377,6.7,7,2,6
군함도,132,15세이상관람가,류승완,4.81E+11,62681470,5553,657,6.7,10,4,7
청년경찰,108,15세이상관람가,김주환,3.48E+11,44284244,5167,279,6.8,9,4,8
사자,128,15세이상관람가,김주환,60286259985,7531305,3211,585,7,9,3,7
장산범,99,15세이상관람가,허정,55409389625,6980588,2321,497,5.9,7,2,8
로마의 휴일,107,15세이상관람가,이덕희,3825940804,517188,911,201,6.3,3,3,8
두 엄마,80,청소년관람불가,이도시,1794000,350,20,21,4,1,1,8
붉은 비키니 무삭제판,101,청소년관람불가,최무연,1853000,360,20,0,5.6,1,1,8
버닝,147,청소년관람불가,최무연,25124388088,2807059,2238,266,6.9,1,4,5
살인자의 기억법,118,15세이상관람가,원신연,1.32E+11,16323337,4045,333,7,10,4,9
봉오동 전투,134,15세이상관람가,원신연,2.51E+11,29528820,5611,711,8.8,10,4,8
원정여행,75,청소년관람불가,국만중,937000,177,20,18,3.4,1,1,8
이웃집 스타,98,12세이상관람가,임아론,222173900,30335,473,161,5.6,3,2,9
범죄도시,121,청소년관람불가,강윤성,5.23E+11,63704847,7106,305,8.3,9,2,10
롱 리브 더 킹: 목포 영웅,117,15세이상관람가,강윤성,51520102580,6081686,2662,428,7.6,9,2,6
남한산성,140,15세이상관람가,황동혁,2.1E+11,25768715,3833,624,7.4,9,4,10
넛잡 2,91,전체관람가,캘런 브런커,19576625700,2614240,1571,106,8.5,5,1,10
부라더,102,12세이상관람가,장유정,63239702326,7972649,3101,185,6.7,7,4,11
희생부활자,91,15세이상관람가,곽경택,6914275405,881581,1684,305,5.6,8,4,10
대장 김창수,114,12세이상관람가,이원태,7656068045,999768,1733,432,8.7,8,1,10
악인전,109,청소년관람불가,이원태,2.41E+11,27697193,4450,434,7.4,8,3,5
